RunID,SpreadLabel,LTLabel,SLF,SWING,POP,BPR,LTPrem,LTPB,LTSL,LTSpot,NetProfit,Sharpe,MaxDDPct,Calmar,PF,WinRate,Trades,AvgWin,AvgLoss,MaxDDAbs
1,Spread-A,LT1-Conservative,0.75,1.25,90.0,0.3,8,4.0,20,1.0,267498.55,4.4637,1.2,5.6367,2.09,39.66,1006.0,1287.53,-405.64,9292.49
2,Spread-A,LT2-BalancedLow,0.75,1.25,90.0,0.3,15,3.0,20,1.5,302694.49,4.4719,1.24,5.8646,2.03,37.61,1005.0,1578.52,-468.88,10106.54
3,Spread-A,LT3-BalancedMid,0.75,1.25,90.0,0.3,15,4.0,30,2.0,279952.6,4.0285,1.56,4.4524,1.9,37.34,940.0,1687.02,-530.03,12312.13
4,Spread-A,LT4-MidAggressive,0.75,1.25,90.0,0.3,30,2.5,30,1.0,383296.05,3.5893,1.69,4.9468,1.93,43.62,979.0,1858.64,-743.38,15172.12
5,Spread-A,LT5-Aggressive,0.75,1.25,90.0,0.3,50,4.0,30,2.0,525109.0,3.2217,2.9,3.4107,1.91,37.99,916.0,3159.8,-1011.45,30146.96
6,Spread-A,LT6-HiddenGemA,0.75,1.25,90.0,0.3,8,1.5,20,2.0,256392.54,4.3593,1.21,5.4027,2.04,35.3,966.0,1475.86,-395.0,9292.49
7,Spread-A,LT7-HiddenGemB,0.75,1.25,90.0,0.3,30,4.0,20,2.0,330408.38,3.5682,1.85,4.1573,1.85,35.61,966.0,2093.78,-626.77,15562.46
8,Spread-B,LT1-Conservative,0.75,0.75,90.0,0.3,8,4.0,20,1.0,221511.59,3.7127,1.42,4.202,1.86,36.43,1161.0,1131.62,-348.46,10322.27
9,Spread-B,LT2-BalancedLow,0.75,0.75,90.0,0.3,15,3.0,20,1.5,261261.3,3.851,1.41,4.7246,1.87,35.23,1144.0,1392.11,-404.53,10828.02
10,Spread-B,LT3-BalancedMid,0.75,0.75,90.0,0.3,15,4.0,30,2.0,252982.07,3.5806,1.82,3.6011,1.8,35.06,1064.0,1525.31,-457.25,13756.1
11,Spread-B,LT4-MidAggressive,0.75,0.75,90.0,0.3,30,2.5,30,1.0,313944.04,2.8808,1.91,3.9251,1.71,40.52,1118.0,1675.68,-669.38,15661.71
12,Spread-B,LT5-Aggressive,0.75,0.75,90.0,0.3,50,4.0,30,2.0,470935.22,2.8081,3.2,2.9334,1.78,36.2,1022.0,2908.96,-928.5,31436.49
13,Spread-B,LT6-HiddenGemA,0.75,0.75,90.0,0.3,8,1.5,20,2.0,223854.23,3.8204,1.32,4.5749,1.92,32.82,1100.0,1295.99,-330.17,9581.23
14,Spread-B,LT7-HiddenGemB,0.75,0.75,90.0,0.3,30,4.0,20,2.0,308028.87,3.1743,2.21,3.342,1.77,33.55,1094.0,1932.9,-552.06,18047.67
15,Spread-C,LT1-Conservative,1.5,0.75,90.0,0.3,8,4.0,20,1.0,228734.81,3.7589,1.54,3.9698,1.9,37.34,1149.0,1125.0,-352.63,11282.49
16,Spread-C,LT2-BalancedLow,1.5,0.75,90.0,0.3,15,3.0,20,1.5,269708.62,3.8973,1.43,4.7725,1.91,36.33,1134.0,1371.8,-409.24,11065.91
17,Spread-C,LT3-BalancedMid,1.5,0.75,90.0,0.3,15,4.0,30,2.0,258281.27,3.6348,1.93,3.4346,1.82,35.95,1057.0,1505.0,-463.25,14724.87
18,Spread-C,LT4-MidAggressive,1.5,0.75,90.0,0.3,30,2.5,30,1.0,321852.61,2.9461,1.76,4.3136,1.73,41.5,1106.0,1657.18,-678.2,14610.22
19,Spread-C,LT5-Aggressive,1.5,0.75,90.0,0.3,50,4.0,30,2.0,482152.93,2.8467,3.16,3.0032,1.8,37.03,1018.0,2875.16,-938.82,31436.49
20,Spread-C,LT6-HiddenGemA,1.5,0.75,90.0,0.3,8,1.5,20,2.0,233229.98,3.89,1.38,4.4689,1.97,33.85,1093.0,1281.89,-333.43,10219.38
21,Spread-C,LT7-HiddenGemB,1.5,0.75,90.0,0.3,30,4.0,20,2.0,313666.09,3.1971,2.31,3.2298,1.79,34.53,1089.0,1895.01,-559.41,19016.44
