number,value,datetime_start,datetime_complete,duration,params_BPR,params_POP,params_SLF,params_SWING,user_attrs_AvgLoss,user_attrs_AvgWin,user_attrs_Calmar,user_attrs_MaxDDAbs,user_attrs_MaxDDPct,user_attrs_NetProfit,user_attrs_PF,user_attrs_Sharpe,user_attrs_Trades,user_attrs_WinRate,state
0,2.0052,2026-03-06 16:00:45.212347,2026-03-06 16:04:21.662880,0 days 00:03:36.450533,0.3,90.0,1.25,2.25,-2339.03,1525.85,308.602,47398.29,7.01,128544.66,1.48,2.0052,373.0,69.44,COMPLETE
1,3.0498,2026-03-06 16:04:21.664009,2026-03-06 16:06:45.281831,0 days 00:02:23.617822,0.5,85.0,1.75,1.25,-1534.53,1359.27,0.0,14849.2,2.32,123933.42,1.55,3.0498,402.0,63.68,COMPLETE
2,2.9611,2026-03-06 16:06:45.282501,2026-03-06 16:09:02.118601,0 days 00:02:16.836100,0.5,75.0,2.25,0.75,-1417.59,1797.82,2.5051,13059.45,1.93,167077.55,1.58,2.9611,456.0,55.48,COMPLETE
3,2.9615,2026-03-06 16:09:02.119209,2026-03-06 16:10:54.636963,0 days 00:01:52.517754,0.7,85.0,0.75,1.25,-741.58,841.78,1.7165,7953.96,1.38,69725.65,1.54,2.9615,412.0,57.52,COMPLETE
4,1.1755,2026-03-06 16:10:54.637885,2026-03-06 16:12:49.454591,0 days 00:01:54.816706,0.5,80.0,1.75,2.25,-3391.74,2282.42,0.0,35501.03,5.77,85395.01,1.18,1.1755,378.0,63.76,COMPLETE
5,3.8044,2026-03-06 16:12:49.454891,2026-03-06 16:14:49.510141,0 days 00:02:00.055250,0.5,90.0,1.25,1.25,-999.62,917.13,2.1645,9287.99,1.52,102670.22,1.77,3.8044,392.0,65.82,COMPLETE
6,3.8075,2026-03-06 16:14:49.510767,2026-03-06 16:16:53.595619,0 days 00:02:04.084852,0.7,90.0,1.75,0.75,-379.07,464.42,2.8895,3887.67,0.69,57369.11,1.86,3.8075,445.0,60.22,COMPLETE
7,1.7225,2026-03-06 16:16:53.595914,2026-03-06 16:18:58.657648,0 days 00:02:05.061734,0.5,85.0,1.75,2.25,-2870.05,1682.11,0.0,41787.07,6.47,104423.05,1.31,1.7225,376.0,69.15,COMPLETE
8,1.2237,2026-03-06 16:18:58.658257,2026-03-06 16:21:00.391678,0 days 00:02:01.733421,0.7,80.0,1.25,2.25,-1977.4,1421.07,0.3804,29561.33,5.04,57424.56,1.2,1.2237,380.0,62.63,COMPLETE
9,4.8863,2026-03-06 16:21:00.392338,2026-03-06 16:23:48.494476,0 days 00:02:48.102138,0.3,90.0,1.75,0.75,-749.46,961.16,4.3571,6657.31,1.02,148135.09,2.21,4.8863,446.0,63.23,COMPLETE
10,2.4771,2026-03-06 16:23:48.495672,2026-03-06 16:26:33.058167,0 days 00:02:44.562495,0.3,75.0,2.25,1.75,-4396.28,3813.19,0.0,39610.29,4.93,264516.61,1.41,2.4771,388.0,61.86,COMPLETE
11,4.8863,2026-03-06 16:26:33.059110,2026-03-06 16:29:24.867916,0 days 00:02:51.808806,0.3,90.0,1.75,0.75,-749.46,961.16,4.3571,6657.31,1.02,148135.09,2.21,4.8863,446.0,63.23,COMPLETE
12,4.8863,2026-03-06 16:29:24.868729,2026-03-06 16:32:22.698132,0 days 00:02:57.829403,0.3,90.0,1.75,0.75,-749.46,961.16,4.3571,6657.31,1.02,148135.09,2.21,4.8863,446.0,63.23,COMPLETE
13,4.9217,2026-03-06 16:32:22.698455,2026-03-06 16:35:16.818164,0 days 00:02:54.119709,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
14,4.9217,2026-03-06 16:35:16.818735,2026-03-06 16:38:08.288235,0 days 00:02:51.469500,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
15,1.9724,2026-03-06 16:38:08.288939,2026-03-06 16:40:43.540947,0 days 00:02:35.252008,0.3,90.0,0.75,1.75,-1409.87,1394.18,0.5067,39988.68,6.21,103479.23,1.46,1.9724,392.0,59.69,COMPLETE
16,4.9217,2026-03-06 16:40:43.541385,2026-03-06 16:43:24.399884,0 days 00:02:40.858499,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
17,2.6943,2026-03-06 16:43:24.400806,2026-03-06 16:46:32.859149,0 days 00:03:08.458343,0.3,75.0,0.75,0.75,-1526.65,2490.74,1.5835,23525.44,3.37,190243.3,1.5,2.6943,478.0,47.91,COMPLETE
18,3.4373,2026-03-06 16:46:32.859433,2026-03-06 16:49:36.636396,0 days 00:03:03.776963,0.3,80.0,0.75,0.75,-1339.22,1960.88,2.6959,14498.36,2.05,199608.77,1.69,3.4373,467.0,53.53,COMPLETE
19,1.9724,2026-03-06 16:49:36.637130,2026-03-06 16:52:18.751922,0 days 00:02:42.114792,0.3,90.0,0.75,1.75,-1409.87,1394.18,0.5067,39988.68,6.21,103479.23,1.46,1.9724,392.0,59.69,COMPLETE
20,3.7442,2026-03-06 16:52:18.752628,2026-03-06 16:54:53.894626,0 days 00:02:35.141998,0.7,90.0,0.75,0.75,-357.74,468.3,2.8104,3887.67,0.7,55797.65,1.83,3.7442,449.0,58.35,COMPLETE
21,4.9217,2026-03-06 16:54:53.895785,2026-03-06 16:57:49.894974,0 days 00:02:55.999189,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
22,4.9217,2026-03-06 16:57:49.895813,2026-03-06 17:01:01.606457,0 days 00:03:11.710644,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
23,4.9217,2026-03-06 17:01:01.607178,2026-03-06 17:03:52.352812,0 days 00:02:50.745634,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
24,4.9217,2026-03-06 17:03:52.353421,2026-03-06 17:06:42.119227,0 days 00:02:49.765806,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
25,4.8682,2026-03-06 17:06:42.119869,2026-03-06 17:09:34.574328,0 days 00:02:52.454459,0.3,90.0,2.25,0.75,-752.0,961.16,4.3448,6657.31,1.02,147718.17,2.2,4.8682,446.0,63.23,COMPLETE
26,4.3029,2026-03-06 17:09:34.576098,2026-03-06 17:12:22.831043,0 days 00:02:48.254945,0.3,85.0,0.75,0.75,-1020.62,1424.07,3.7793,9547.3,1.39,184267.24,1.94,4.3029,459.0,58.17,COMPLETE
27,2.7938,2026-03-06 17:12:22.831918,2026-03-06 17:14:55.908145,0 days 00:02:33.076227,0.3,75.0,0.75,1.75,-1780.55,3504.7,1.8846,24047.07,3.23,231438.11,1.53,2.7938,434.0,43.78,COMPLETE
28,2.5923,2026-03-06 17:14:55.908599,2026-03-06 17:16:53.471849,0 days 00:01:57.563250,0.7,80.0,0.75,1.25,-994.81,1098.76,1.3171,11719.46,1.98,78829.72,1.45,2.5923,409.0,56.72,COMPLETE
29,2.0052,2026-03-06 17:16:53.472143,2026-03-06 17:19:07.543996,0 days 00:02:14.071853,0.3,90.0,1.25,2.25,-2339.03,1525.85,308.602,47398.29,7.01,128544.66,1.48,2.0052,373.0,69.44,COMPLETE
30,4.9217,2026-03-06 17:19:07.544280,2026-03-06 17:21:48.602269,0 days 00:02:41.057989,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
31,4.9217,2026-03-06 17:21:48.602683,2026-03-06 17:24:38.835911,0 days 00:02:50.233228,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
32,4.9217,2026-03-06 17:24:38.836570,2026-03-06 17:27:29.666897,0 days 00:02:50.830327,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
33,4.9217,2026-03-06 17:27:29.667294,2026-03-06 17:30:24.347411,0 days 00:02:54.680117,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
34,3.0839,2026-03-06 17:30:24.347767,2026-03-06 17:32:45.523599,0 days 00:02:21.175832,0.5,85.0,2.25,1.25,-1557.04,1356.2,0.0,15867.0,2.47,125886.82,1.57,3.0839,400.0,64.25,COMPLETE
35,4.9217,2026-03-06 17:32:45.524557,2026-03-06 17:35:24.319099,0 days 00:02:38.794542,0.3,90.0,0.75,0.75,-708.83,972.18,4.3888,6350.19,0.98,142329.87,2.15,4.9217,449.0,61.02,COMPLETE
36,3.041,2026-03-06 17:35:24.319373,2026-03-06 17:38:04.109862,0 days 00:02:39.790489,0.5,75.0,1.25,0.75,-1391.07,1784.35,2.2269,14585.91,2.17,165878.57,1.58,3.041,456.0,55.26,COMPLETE
37,5.2137,2026-03-06 17:38:04.110486,2026-03-06 17:41:09.121715,0 days 00:03:05.011229,0.3,90.0,0.75,1.25,-999.65,1192.61,3.5486,8958.87,1.34,162357.06,2.14,5.2137,399.0,64.16,COMPLETE
38,2.6289,2026-03-06 17:41:09.122561,2026-03-06 17:43:36.008792,0 days 00:02:26.886231,0.7,85.0,2.25,1.25,-993.45,859.27,0.0,13057.34,2.24,69505.38,1.47,2.6289,400.0,63.0,COMPLETE
39,2.5204,2026-03-06 17:43:36.009241,2026-03-06 17:45:52.993216,0 days 00:02:16.983975,0.5,80.0,0.75,1.25,-1411.43,1792.5,1.4976,15625.15,2.47,119501.24,1.43,2.5204,417.0,53.0,COMPLETE
